molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
2563,293.15,8.07714,-0.3411,4839.61651,3.3312,0.909,2.0755,-8.7537,-40.432,-49.1857
2565,293.15,11.37361,-1.10108,12779.54452,6.9132,4.1416,5.0355,-0.9453,-108.9618,-109.9072
2566,293.15,5.29832,-0.96528,5277.86898,1.8203,3.7668,4.1842,-8.8697,-71.5666,-68.1068
2567,293.15,-1.19733,-0.78852,42547.94389,12.5129,0.721,3.901,-9.9105,-89.4386,-99.3491
2568,298.15,5.72031,-0.10259,3646.94107,2.9974,0.0,0.0,-3.2791,-2.5392,-5.8183
2570,293.15,1.38588,-0.51962,21080.59857,7.5734,0.794,2.3327,-14.9867,-54.5304,-69.5172
2571,298.15,5.12411,-0.44237,10157.027,5.6466,0.9964,2.3631,-0.728,-53.9656,-53.5868
2572,298.15,6.80239,-0.88221,12589.73307,5.2067,2.726,3.5689,5.622,-76.5755,-64.0877
2574,298.15,-2.16282,-0.56818,35995.03851,10.9746,0.0,3.4242,-9.7768,-76.7386,-73.3835
2575,293.15,4.55703,-0.55819,5330.42155,2.8132,2.12,2.8045,-9.5037,-57.9772,-62.9863
2577,293.15,2.34181,-0.61177,23302.05934,9.0025,0.7385,2.5877,-7.1572,-57.3535,-64.5106
2578,293.15,0.35059,-0.72095,25492.98313,8.4544,0.9025,3.6618,-1.5188,-75.1343,-73.3922
2583,293.15,5.50533,-0.20947,8712.61004,4.1462,0.0,0.0,0.8128,-2.6579,-1.8451
2584,298.15,1.1314,-0.16652,7764.06613,3.8274,0.0,0.6567,-13.6443,-16.8837,-30.5281
2585,293.15,0.69315,-0.73514,26295.28757,11.7649,0.0,4.5958,-0.064,-103.6418,-71.161
2586,298.15,4.69931,-0.73033,16473.25195,8.9479,0.0,3.2785,1.3867,-72.6545,-45.1271
2587,293.15,0.25464,-0.39069,46908.67755,8.5486,0.0,1.6599,-22.7696,-41.6538,-64.4234
2588,310.15,7.12274,-0.95142,12034.71655,6.1359,3.0962,4.204,-6.4942,-87.891,-94.3853
2590,303.15,8.34284,-0.93638,7657.01893,2.1722,4.3313,3.6713,-2.6755,-77.5857,-74.1642
2592,293.15,5.19296,-0.36075,18423.46302,7.7256,0.0,2.72,-1.4258,-57.6362,-48.7472
2593,298.15,3.85015,-0.36633,7251.34427,4.1718,0.9672,1.5132,-9.1948,-35.5626,-44.7575
2594,298.15,4.99041,-0.37294,13335.46803,5.2758,0.7034,1.9404,-14.4169,-36.7297,-44.6669
2595,302.15,4.03643,-0.09164,5208.59617,3.4383,0.0,0.4161,-1.4981,-12.8737,-14.3718
2597,293.15,0.53056,-0.40711,33359.44532,7.9911,0.0,3.1931,-6.4331,-63.9181,-53.0141
2598,293.15,5.52157,-0.4479,7143.83442,4.3384,1.0958,2.4847,-8.4414,-54.9358,-57.6474
2599,293.15,6.86797,-0.65652,12078.6443,6.0791,1.1314,4.0025,-11.6985,-82.3185,-78.9096
2600,291.15,9.25913,-0.99975,5486.40264,2.6441,3.6825,3.6006,-1.2306,-68.0765,-63.3555
2601,298.15,10.26116,-0.3224,3631.14837,3.672,0.6425,1.588,-3.692,-33.0699,-36.7619
2602,288.15,5.52145,-0.61387,13433.53747,5.0318,1.9765,3.4381,-15.2598,-70.2327,-76.7321
2603,293.15,1.02962,-1.12895,21046.54857,7.561,2.2217,4.3712,-5.3196,-81.6737,-67.1287
2604,298.15,7.37476,-0.34358,10625.50371,6.9156,0.0,1.9492,2.1836,-44.6417,-32.2919
2605,298.15,7.82394,-0.50351,11169.24565,7.4956,0.0,2.6604,-0.4467,-56.7986,-47.7273
2606,293.15,6.37622,-0.59409,13593.43169,6.4689,0.6151,2.5787,-4.5865,-55.8174,-64.6182
2607,298.15,5.29832,-0.2659,6519.82654,3.5318,0.9229,1.4332,1.8216,-34.0003,-32.1787
2608,298.15,1.60944,-0.47114,12094.32662,7.5772,0.0,3.0262,-6.418,-63.9809,-60.9515
2609,298.15,1.7247,-0.9376,30489.16783,12.4757,0.0,4.861,5.5695,-106.3159,-71.7722
2612,298.15,4.75359,-0.128,4718.45257,3.2291,0.0,0.0,-2.2875,-2.4739,-4.7614
2613,293.15,0.69252,-0.34834,15665.66639,7.164,0.0,1.6445,-6.5641,-38.7167,-45.2809
2615,298.15,5.28327,-0.57685,12805.58243,6.9706,0.8516,3.2437,-1.29,-70.1663,-62.9002
2617,298.15,8.16052,-0.83069,10722.66454,4.8644,2.6434,3.2335,3.7701,-68.0734,-57.8371
2618,293.15,4.90527,-0.94002,4887.04493,1.1496,3.969,3.7938,-9.5194,-73.0934,-80.6779
2619,293.15,3.66356,-0.30795,14161.60501,5.7827,0.0,2.4281,-4.1373,-47.6148,-41.3836
2620,293.15,4.96981,-0.24268,7393.53392,5.4622,0.0,2.2927,-0.9721,-52.3254,-47.8396
2622,293.15,8.94898,-0.88934,12933.70497,9.905,0.0,5.2381,-4.64,-103.0145,-61.6539
2623,298.15,0.41288,-0.15542,17250.13867,5.7133,0.0,0.0,-14.4893,-5.1877,-19.677
