molindx,MolarMass,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,Temperature,logS
107,167.12,60.79352,2.030322985,120.426,203.453,12.17685873,-8.442782408,-3.734076326,-7.799200853,-2.254573608,5.544627246,298.15,7.09008
108,252.2077,69.53808,6.936200995,150.149,253.841,-47.0766905,27.41560268,19.66108782,-7.794139533,-2.484329254,5.309810279,293.15,6.76157
109,281.32,97.9056,6.835953191,164.036,273.063,42.29643584,-39.54885005,-2.747585791,-7.790942193,-2.434194426,5.356747767,298.15,5.59842
110,181.2088,64.18256,10.92375053,125.128,208.628,22.14196481,-7.670213834,-14.47175098,-7.784963849,-2.297738235,5.487225614,293.15,4.75359
111,378.3,86.94352,1.690887993,233.409,402.755,62.75245248,-67.249087,4.496634516,-7.784893099,-2.043843356,5.741049743,293.15,6.48311
112,151.12,38.99488,3.518756622,115.605,193.194,-32.37319122,22.4393722,9.933819023,-7.784237304,-2.908332663,4.875904642,298.15,7.75791
113,378.4644,51.29584,4.264901881,258.737,460.557,22.80826328,4.540277254,-27.34854053,-7.781233166,-2.080295475,5.700937691,293.15,1.77495
114,236.2602,97.0688,8.552749563,146.144,249.47,-7.676409754,3.622492269,4.053917485,-7.777271186,-1.565295784,6.211975402,298.15,6.55106
115,167.12,53.05312,6.480918503,111.861,189.901,19.65183682,-4.393244349,-15.25859247,-7.776909274,-2.645821566,5.131087708,298.15,8.96827
116,201.5659,46.90264,7.387204678,131.122,215.16,7.375444223,-6.792801261,-0.582642962,-7.774623517,-2.559991368,5.214632149,298.15,5.85874
117,225.56,28.99512,5.238036809,130.972,214.556,-15.45940384,14.51774403,0.941659812,-7.768106387,-2.619859441,5.148246945,293.15,5.12396
118,69.0658,44.18304,3.897542776,62.885,104.902,12.34971356,-8.787045515,-3.562668044,-7.766070974,0.378341863,8.144412837,298.15,13.45884
119,226.4463,25.27136,4.714672536,143.411,222.356,-11.0974068,-2.073365454,13.17077226,-7.760062697,-2.557183696,5.202879001,298.15,1.83278
120,151.12,37.11208,6.372516807,111.174,185.702,12.80797571,1.454907482,-14.26288319,-7.759197374,-2.705504057,5.053693317,298.15,7.74932
121,167.12,63.22024,1.792500058,110.395,187.617,-21.51865735,-4.950967827,26.46962517,-7.756982366,-1.78872097,5.968261396,298.15,7.75791
122,296.2356,79.9144,4.015839755,184.26,307.473,57.20146874,-41.30674745,-15.89472129,-7.756209562,-3.176778566,4.579430996,293.15,6.11921
123,364.3974,52.88576,8.996775332,221.53,394.984,-20.17825664,14.44170298,5.736553656,-7.754688445,-2.845275686,4.90941276,293.15,-1.39433
124,123.11,28.242,6.023085901,100.213,167.186,-4.314070806,6.921586371,-2.607515565,-7.752106083,-2.452606476,5.299499607,298.15,7.64492
125,223.228,43.932,7.302417885,155.963,271.053,-26.10595069,20.99592778,5.110022905,-7.745289628,-2.510815742,5.234473885,298.15,2.19724
126,167.12,65.6888,5.521085432,111.205,189.035,-19.15934317,12.55646494,6.602878231,-7.745235205,-1.749394511,5.995840694,298.15,9.30565
127,159.15,57.23712,8.304280337,126.617,207.435,-32.17061737,19.01507508,13.1555423,-7.741256898,-1.667966845,6.073290053,298.15,5.75574
128,151.12,38.11624,2.611886872,109.204,182.372,-32.25177752,22.75822734,9.493550179,-7.741134447,-2.602672993,5.138461454,298.15,7.39634
129,288.2746,83.80552,9.743019657,164.18,286.843,31.1404806,-26.33054049,-4.809940115,-7.740728997,-2.577462992,5.163266005,285.15,7.24418
130,216.034,38.53464,5.374038348,125.354,203.553,-34.54695236,14.33725586,20.2096965,-7.74071267,-2.620099174,5.120613496,298.15,3.766
131,265.2986,134.64112,11.61063113,162.169,279.95,-38.74838764,32.9699099,5.778477744,-7.739983405,-1.641756009,6.098227396,298.15,8.79526
132,210.14,78.8684,5.26891618,135.968,232.298,-20.72780569,13.71519205,7.012613637,-7.730184579,-2.185589988,5.544594592,298.15,9.95228
133,283.29,119.6624,11.59515275,161.685,279.671,-35.62803917,11.39970157,24.2283376,-7.729719265,-1.744988169,5.984731096,298.15,8.10168
134,297.267,80.20728,2.851297719,184.073,319.085,8.933090751,-9.479017635,0.545926884,-7.728611761,-0.248391374,7.480220387,298.15,9.10498
135,210.14,82.88504,6.348229976,128.386,218.969,25.71151663,-0.856512158,-24.85500447,-7.726921933,-1.794686526,5.932235407,292.15,10.32876
136,186.23,49.66408,8.35758097,124.215,212.175,15.11389929,-15.28272496,0.168825665,-7.725950486,-1.140965294,6.584985191,298.15,7.22984
137,166.13,53.1368,5.169065309,114.957,193.672,26.19914428,-10.22857628,-15.97056799,-7.72414637,-1.652451722,6.071694648,298.15,4.78749
138,123.11,38.95304,2.772438543,100.773,168.534,13.35781083,-10.73915227,-2.618658564,-7.722886482,-1.794488427,5.928398055,293.15,8.55641
139,121.1012,46.48424,3.810170994,92.492,152.151,12.8745986,-11.03703796,-1.837560649,-7.719150357,-2.18145195,5.537698407,293.15,11.17041
140,172.2,46.2332,7.804464442,112.598,192.018,13.52236277,-12.61804237,-0.904320398,-7.716189756,-1.145540075,6.570649682,298.15,8.04559
141,190.1215,39.83168,5.349653622,116.184,197.555,-15.23321844,-0.58595571,15.81917415,-7.71595846,-1.463527597,6.252430862,298.15,8.47589
142,227.05,31.00344,5.029848722,153.522,240.762,26.68269927,-3.878950138,-22.80374914,-7.715765259,-3.492283865,4.223481394,298.15,2.07944
143,166.13,53.01128,4.123941402,123.425,208.722,9.481329087,-6.040702838,-3.440626249,-7.715599269,-2.028966611,5.686632658,298.15,2.83321
144,254.3002,68.45024,7.788331401,153.688,267.72,36.77538505,-16.40845009,-20.36693496,-7.715520356,-1.310532861,6.404987495,298.15,5.53736
145,268.327,67.7808,7.67284385,168.036,292.182,36.85785625,-14.80736068,-22.05049558,-7.713580183,-1.299620818,6.413959365,298.15,6.62814
146,226.45,27.4052,4.296070323,142.339,220.818,-19.65011593,19.28807638,0.362039543,-7.712869966,-2.598660944,5.114209021,293.15,3.2581
147,252.226,51.92344,2.551578932,168.62,278.642,54.6868002,-40.22053795,-14.46626225,-7.709759703,-3.075358957,4.634400745,298.15,2.09186
148,194.19,39.83168,5.330966994,138.789,234.916,33.92080791,-14.47083579,-19.44997212,-7.70834471,-1.620977928,6.087366782,298.15,5.66988
149,282.3538,64.97752,8.141351524,174.436,305.727,37.60518045,-11.36807254,-26.23710791,-7.705775954,-1.308059889,6.397716064,298.15,5.98901
150,181.1476,46.19136,7.29429514,124.032,210.586,7.53851054,-7.344139402,-0.194371137,-7.705424927,-2.470950497,5.23447443,293.15,5.54908
151,282.0925801,66.06536,7.044400492,170.721,301.168,43.8614126,-25.92624137,-17.93517123,-7.704320144,-1.279220159,6.425099985,298.15,4.90531
152,214.242,68.86864,5.339552605,134.974,233.472,-31.8849434,23.87302534,8.011918066,-7.704208577,-1.144946866,6.559261711,298.15,10.23279
153,194.19,39.58064,4.79716751,151.814,256.217,16.02560333,-8.882089986,-7.143513341,-7.702910593,-1.987998216,5.714912377,298.15,2.94444
154,147.13,42.6768,3.670604225,114.57,189.599,18.76558363,-2.012357646,-16.75322599,-7.702124184,-2.202809089,5.499315094,298.15,5.8861
155,279.33,105.4368,10.46560596,161.1,279.999,-15.7339419,-1.257603075,16.99154498,-7.701982685,-1.771062132,5.930920552,298.15,8.88184
156,192.0012,28.53488,4.640619565,126.393,199.774,-17.22303706,15.75471598,1.468321075,-7.692436925,-2.59229266,5.100144265,293.15,5.14749
157,214.24,66.65112,8.872868022,138.137,237.32,15.68070352,-2.327321109,-13.35338241,-7.692115831,-1.144437741,6.54767809,298.15,9.6486
158,181.15,69.37072,3.87703616,120.666,207.577,21.05338908,2.345922826,-23.3993119,-7.691356633,-1.75252872,5.938827913,283.15,9.04782
159,327.39,98.78424,9.977800311,172.588,295.496,-37.20844656,37.22648077,-0.018034215,-7.687759286,-1.974880961,5.712878325,298.15,6.82437
160,235.3254,31.63104,0.829308251,166.744,296.831,27.32845166,-21.05235477,-6.276096889,-7.68657559,-1.571684749,6.114890841,298.15,5.24706
161,249.3522,30.87792,0.782049818,173.179,309.376,26.70783826,-20.39906892,-6.308769339,-7.685288491,-1.568637072,6.116651419,298.15,5.29828
162,463.7022,36.44264,4.904098117,185.382,273.16,3.664992336,-16.65401748,12.98902515,-7.684004113,-3.0378426,4.646161512,293.15,4.78749
163,263.379,31.71472,0.924554616,186.909,334.157,27.40670712,-20.60579947,-6.80090765,-7.683669412,-1.561508502,6.122160911,298.15,5.13587
164,209.2,42.42576,7.375796813,141.647,245.604,-21.85640683,3.009907546,18.84649929,-7.683552403,-2.485687375,5.197865028,298.15,3.17805
165,246.0169,47.36288,7.400129274,136.048,220.356,14.11869428,-11.80694888,-2.311745401,-7.683536076,-2.60073282,5.082803256,298.15,5.57977
166,100.138,27.94912,5.857403324,83.667,134.375,-5.025433694,5.347180353,-0.321746659,-7.680066623,-1.424811217,6.255255406,288.15,11.73604
167,195.1744,42.2584,7.342182137,131.718,226.342,-16.8407364,1.234619648,15.60611675,-7.679593145,-2.479251879,5.200341266,298.15,3.21884
168,193.245,31.38,0.677848336,136.75,241.532,27.71814381,-6.024462116,-21.69368169,-7.674959043,-1.542974273,6.13198477,298.15,6.69709
169,278.35,37.36312,5.027947918,194.651,344.833,20.82076652,-16.52364509,-4.297121428,-7.674727746,-1.989373752,5.685353994,298.15,-0.05129
170,240.1038,37.99072,8.832166316,148.226,240.713,-14.97375441,9.844685828,5.129068586,-7.674534545,-2.442211721,5.232322824,298.15,4.40807
171,229.1611,71.71376,6.379242161,141.052,237.77,36.61338919,-33.63725419,-2.976135002,-7.67423522,-1.604980346,6.069254874,293.15,8.55641
172,181.1476,43.05336,7.313765636,125.841,213.493,-13.70247696,0.746302801,12.95617416,-7.673701876,-2.472913527,5.200788349,298.15,6.2585
173,207.2718,30.87792,0.822500062,149.433,263.12,27.19338931,-6.099170655,-21.09421866,-7.671761704,-1.542087725,6.129673978,298.15,6.13119
174,157.56,27.90728,3.84499353,115.473,186.984,-22.00442403,16.85676688,5.147657153,-7.670885497,-2.567122115,5.103763381,293.15,5.4161
175,158.156,32.71888,1.823721436,123.062,201.657,26.5223285,-3.131812745,-23.39051576,-7.669543975,-3.174792134,4.494751841,298.15,4.49312
176,69.06,24.058,3.881428921,60.297,99.953,7.289095383,-3.409528633,-3.879566749,-7.669331726,-0.274015261,7.395316465,293.15,12.02575
177,123.11,38.24176,0.645119024,97.845,163.918,23.75962098,-19.37599873,-4.383622255,-7.667960271,-1.555491789,6.112468482,293.15,9.79813
178,390.57,39.9572,0.00264324,272.391,492.369,43.3519648,-33.49995808,-9.852006712,-7.667826935,-2.018008036,5.649818899,296.15,-7.82405
179,288.7453,67.86448,6.590677078,170.318,289.412,26.09711534,-21.10097222,-4.996143118,-7.667712647,-1.497751647,6.169961,298.15,5.66647
180,192.0,25.5224,3.406545145,128.723,203.714,-22.45082014,15.8853128,6.565507343,-7.66557111,-2.687633243,4.977937868,293.15,4.79579
181,165.19,30.83608,0.665280262,130.217,223.454,27.16565323,-21.59045103,-5.5752022,-7.66547587,-1.536514286,6.128961584,298.15,9.15905
